magnitude,date,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
6.5,2023-08-16,7,4,green,0,657,us,114,7.177,25,mww,192.955,-13.8814,167.158,"Sola, Vanuatu",,Vanuatu
6.5,2023-07-19,8,6,yellow,0,775,us,92,0.679,40,mww,69.727,12.814,-88.1265,"Intipucá, El Salvador",,
6.6,2023-07-17,7,5,green,0,899,us,70,1.634,28,mww,171.371,-38.1911,-70.3731,"Loncopué, Argentina",South America,Argentina
7.2,2023-07-16,6,6,green,1,860,us,173,0.907,36,mww,32.571,54.3844,-160.699,"Sand Point, Alaska",,
7.3,2023-07-16,0,5,,1,820,at,79,0.879451,172.8,Mi,21,54.49,-160.796,Alaska Peninsula,,
6.6,2023-07-10,5,4,green,1,802,us,95,2.454,37,mww,10,20.0196,-61.0955,"Codrington, Antigua and Barbuda",,
6.9,2023-07-02,4,4,green,1,741,us,136,1.179,23,mww,229,-17.853,-174.937,Tonga,,
7.2,2023-06-15,8,6,green,1,804,us,85,2.59,24,mww,167.404,-22.9824,-177.208,the Fiji Islands,,
6.6,2023-05-25,6,6,green,1,733,us,50,2.163,129,mww,10,8.8894,-77.1231,Panama-Colombia border region,,Colombia
7.1,2023-05-20,3,4,green,1,777,us,98,2.812,56,mww,35.981,-23.0622,170.456,the Loyalty Islands,,
7.7,2023-05-19,5,4,green,1,927,us,277,3.111,15,mww,18.027,-23.2286,170.694,the Loyalty Islands,,
7.6,2023-05-10,8,6,green,1,907,us,111,3.631,17,mww,210.097,-15.6002,-174.608,"Hihifo, Tonga",,
6.6,2023-04-28,0,2,green,0,670,us,52,5.123,50,mww,598.467,-25.2657,178.424,the Fiji Islands,,
7.1,2023-04-24,9,7,green,0,838,us,70,2.282,58,mww,15.462,-0.781,98.5339,"Teluk Dalam, Indonesia",,Indonesia
7.1,2023-04-24,8,7,green,1,777,us,126,0.708,23,mww,43.063,-30.0249,-177.897,"Kermadec Islands, New Zealand",,
6.7,2023-04-18,0,3,green,1,691,us,166,4.719,10,mww,595.854,-22.2844,179.391,the Fiji Islands,,
7,2023-04-14,5,3,green,0,818,us,131,1.881,31,mww,594.028,-6.0255,112.033,"Tuban, Indonesia",,Indonesia
6.5,2023-04-03,7,6,yellow,1,655,us,104,0.266,30,mww,105.631,52.7772,158.484,"the Kamchatka Peninsula, Russia",Asia,Russian Federation (the)
7,2023-04-02,7,7,green,1,781,us,105,6.45,31,mww,62.603,-4.2924,143.155,"New Guinea, Papua New Guinea",Asia,Papua New Guinea
6.5,2023-03-22,4,4,green,0,656,us,97,1.622,33,mww,209.976,-23.4797,-66.5108,"San Antonio de los Cobres, Argentina",South America,Argentina
6.5,2023-03-21,7,5,green,0,1350,us,134,2.53,13,mww,187.589,36.5227,70.9787,"Jurm, Afghanistan",Asia,Afghanistan
6.8,2023-03-18,9,7,orange,1,1159,us,152,0.709,28,mww,65.842,-2.851,-79.8001,Ecuador,South America,Ecuador
7,2023-03-16,8,5,green,1,756,us,116,1.789,22,mww,22.065,-30.1147,-176.112,Kermadec Islands region,,
6.9,2023-03-04,5,5,green,1,735,us,108,0.784,18,mww,205.681,-29.4748,-178.787,"Kermadec Islands, New Zealand",,
6.5,2023-03-02,7,6,green,1,653,us,66,5.483,45,mww,10,-15.3597,166.385,"Port-Olry, Vanuatu",,
6.5,2023-03-01,4,2,green,1,652,us,115,2.739,20,mww,598.925,-4.8138,149.487,"Kimbe, Papua New Guinea",,Papua New Guinea
6.8,2023-02-23,9,7,green,0,737,us,128,1.783,20,mww,20.522,38.0726,73.2077,"Murghob, Tajikistan",Asia,Tajikistan
7.5,2023-02-06,9,9,orange,0,1411,us,135,0.85,17,mww,10,38.0235,37.203,"Ekinözü, Turkey",Asia,Turkiye
6.7,2023-02-06,9,8,yellow,0,800,us,108,0.218,44,mww,14.497,37.4135,36.8306,"Nurdağı, Turkey",Asia,Turkiye
7.8,2023-02-06,9,9,red,0,2910,us,118,1.919,32,mww,17.925,37.2012,36.9997,Central Turkey,Asia,Turkiye
6.8,2023-01-20,4,3,green,0,718,us,60,5.129,61,mww,610.671,-26.7209,-63.0394,,South America,Argentina
7,2023-01-18,3,5,green,1,756,us,130,1.974,17,mwc,28.566,2.7401,127.051,"Tobelo, Indonesia",,Indonesia
7.6,2023-01-09,5,7,green,0,957,us,114,1.575,21,mww,105.249,-7.0852,130.039,"Pulau Pulau Tanimbar, Indonesia",,Indonesia
7,2023-01-08,8,7,green,1,768,us,116,6.096,36,mww,29,-14.9383,166.878,Vanuatu,,Vanuatu
6.8,2022-12-04,5,5,green,1,720,us,152,2.587,26,mww,38,-15.3983,-172.968,"Hihifo, Tonga",,
7,2022-11-22,8,7,green,1,768,us,117,0.509,17,mww,14,-9.7963,159.596,"Malango, Solomon Islands",Oceania,Solomon Islands
